add, R, 0, 20, rd|rs|rt
sra, R, 0, 3, rd|rt|sa
sllv, R, 0, 4, rd|rt|rs
srlv, R, 0, 6, rd|rt|rs
srav, R, 0, 7, rd|rt|rs
addi, I, 8, null, rt|rs|i
addiu, I, 9, null, rt|rs|i
addu, R, 0, 21, rd|rs|rt
and, R, 0, 24, rd|rs|rt
andi, I, c, null, rt|rs|i
beq, I, 4, null, rs|rt|i
bne, I, 5, null, rs|rt|i
j, J, 2, null, i
jal, J, 3, null, i
jr, R, 0, 8, rs
jalr, R, 0, 9, rd|rs
mfhi, R, 0, 10, rd
mthi, R, 0, 11, rs
mflo, R, 0, 12, rd
mtlo, R, 0, 13, rs
dsllv, R, 0, 14, rd|rt|rs
dsrlv, R, 0, 16, rd|rt|rs
dsrav, R, 0, 17, rd|rt|rs
mult, R, 0, 18, rs|rt
multu, R, 0, 19, rs|rt
div, R, 0, 1a, rs|rt
divu, R, 0, 1b, rs|rt
dmult, R, 0, 1c, rs|rt
dmultu, R, 0, 1d, rs|rt
ddiv, R, 0, 1e, rs|rt
ddivu, R, 0, 1f, rs|rt
movz, R, 0, a, rd|rs|rt
movn, R, 0, b, rd|rs|rt
syscall, R, 0, c, null
break, R, 0, d, null
sync, R, 0, f, null
lbu, I, 24, null, rt|i(base)
lhu, I, 25, null, rt|i(base)
ll, I, 30, null, rt|i(base)
lui, I, f, null, rt|i(base)
lw, I, 23, null, rt|i(base)
nor, R, 0, 27, rd|rs|rt
or, R, 0, 25, rd|rs|rt
xor, R, 0, 26, rd|rs|rt
ori, I, d, null, rt|rs|i
slt, R, 0, 2a, rd|rs|rt
slti, I, a, null, rt|rs|i
sltiu, I, b, null, rt|rs|i
sltu, R, 0, 2b, rd|rs|rt
dadd, R, 0, 2c, rd|rs|rt
dsub, R, 0, 2e, rd|rs|rt
dsubu, R, 0, 2f, rd|rs|rt
tge, R, 0, 30, rs|rt
tgeu, R, 0, 31, rs|rt
tlt, R, 0, 32, rs|rt
tltu, R, 0, 33, rs|rt
teq, R, 0, 34, rs|rt
tne, R, 0, 36, rs|rt
dsll, R, 0, 38, rd|rt|sa
dsrl, R, 0, 3a, rd|rt|sa
dsra, R, 0, 3b, rd|rt|sa
dsll32, R, 0, 3c, rd|rt|sa
dsrl32, R, 0, 3e, rd|rt|sa
dsra32, R, 0, 3f, rd|rt|sa
daddu, R, 0, 2d, rd|rs|rt
sll, R, 0, 0, rd|rt|sa
srl, R, 0, 2, rd|rt|sa|
sb, I, 28, null, rs|i(base)
sc, I, 38, null, rs|i(base)
sh, I, 29, null, rs|i(base)
sw, I, 2b, null, rs|i(base)
sub, R, 0, 22, rd|rs|rt
subu, R, 0, 23, rd|rs|rt
